Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type,latitude,longitude
Woodwalton Farm,TL210810,521000,281000,2038.0,England,12.0,45,1976,2020,UKBMS,52.413625,-0.22241332
Bevill's Wood,TL200790,520000,279000,1532.0,England,10.0,44,1974,2017,UKBMS,52.395874,-0.23782465
Holkham,TF870450,587000,345000,3454.0,England,6.0,43,1976,2020,UKBMS,52.969736,0.78327779
Monks Wood,TL200800,520000,280000,2900.0,England,14.0,48,1973,2020,UKBMS,52.40486,-0.23746658
Monks Wood Fields,TL200800,520000,280000,,England,15.0,3,1974,1976,UKBMS,52.40486,-0.23746658
Yarner Wood,SX770780,277000,78000,3133.0,England,11.0,44,1976,2020,UKBMS,50.588737,-3.738941
Brockwell's Farm,ST470890,347000,189000,812.0,Wales,7.0,10,1976,1985,UKBMS,51.597338,-2.766558
Old Winchester Hill,SU64502080,464500,120800,1792.0,England,10.0,45,1976,2020,UKBMS,50.983002,-1.0825266
Kingley Vale,SU820100,482000,110000,6289.0,England,15.0,43,1976,2018,UKBMS,50.883682,-0.83570286
Oxwich,SS5087,250000,187000,4020.0,Wales,13.0,43,1976,2019,UKBMS,51.561875,-4.1653655
Rhinog,SH650270,265000,327000,2269.0,Wales,6.0,5,1976,1980,UKBMS,52.823574,-4.0049473
Leigh Marshes,TQ820850,582000,185000,1776.0,England,8.0,41,1976,2019,UKBMS,51.534564,0.62271834
Craig y Cilau,SO180160,318000,216000,3521.0,Wales,3.0,18,1976,1997,UKBMS,51.836565,-3.1915156
Gomm Valley,SU890920,489000,192000,1219.0,England,9.0,43,1977,2020,UKBMS,51.619796,-0.71585113
Foxholes,SP250200,425000,220000,2909.0,England,5.0,45,1976,2020,UKBMS,51.878011,-1.6382392
Swanage,SZ020810,402000,81000,3397.0,England,15.0,43,1976,2020,UKBMS,50.628697,-1.9730848
Buttlers Hanging,SU810960,481000,196000,1158.0,England,10.0,22,1976,2020,UKBMS,51.656961,-0.83045411
Woodhurst,TL310750,531000,275000,2303.0,England,13.0,10,1976,1985,UKBMS,52.357414,-0.077817358
Studland Heath,SZ020790,402000,79000,3665.0,England,14.0,45,1976,2020,UKBMS,50.610711,-1.9730949
Ham Street Woods,TR000340,600000,134000,1711.0,England,15.0,9,1976,1985,UKBMS,51.070474,0.85335056
Castor Hanglands,TF11800160,511800,301600,1624.0,England,8.0,47,1974,2020,UKBMS,52.600697,-0.35069883
Coedydd Maentwrog,SH600400,260000,340000,2099.0,Wales,12.0,9,1976,1985,UKBMS,52.939082,-4.0846953
Ebbor Gorge,ST52804880,352800,148800,2294.0,England,8.0,33,1976,2009,UKBMS,51.236418,-2.6774638
Dyfi,SN600930,260000,293000,2414.0,Wales,5.0,44,1976,2019,UKBMS,52.516849,-4.0646435
Chippenham Fen,TL650690,565000,269000,3255.0,England,8.0,44,1976,2019,UKBMS,52.294352,0.41806472
Rostherne Mere,SJ740840,374000,384000,5360.0,England,15.0,29,1976,2020,UKBMS,53.352241,-2.3920602
Holme Fen,TL210890,521000,289000,4438.0,England,8.0,44,1974,2019,UKBMS,52.485511,-0.21951653
Walberswick,TM470740,647000,274000,3577.0,England,10.0,35,1976,2014,UKBMS,52.308511,1.6219688
Aston Rowant (N),SU730960,473000,196000,3400.0,England,10.0,44,1976,2020,UKBMS,51.658055,-0.94608065
Aston Rowant (S),SU720960,472000,196000,2367.0,England,10.0,45,1976,2020,UKBMS,51.658184,-0.96053447
Waterperry Wood,SP6009,460000,209000,1760.0,England,10.0,41,1976,2020,UKBMS,51.776462,-1.1317534
Wye & Crundale Down,TR070450,607000,145000,1950.0,England,12.0,40,1976,2020,UKBMS,51.166775,0.95943504
Roudsea Wood (old),SD330820,333000,482000,,England,15.0,2,1977,1978,UKBMS,54.229309,-3.0292707
Potton Wood,TL250500,525000,250000,3960.0,England,9.0,43,1974,2017,UKBMS,52.134171,-0.17511273
Stow Longa,TL120690,512000,269000,1506.0,England,5.0,2,1976,1977,UKBMS,52.307703,-0.35867605
Bure Marshes,TG340160,634000,316000,1671.0,England,12.0,45,1976,2020,UKBMS,52.691094,1.4611526
Upper Teesdale,NY880280,388000,528000,1411.0,England,7.0,42,1976,2020,UKBMS,54.646962,-2.1874749
Avon Gorge (old),ST550730,355000,173000,,England,11.0,1,1976,1976,UKBMS,51.454182,-2.6490213
Saltfleetby,TF460930,546000,393000,2929.0,England,12.0,42,1977,2020,UKBMS,53.41361,0.19519423
Tregarron Bog,SN680620,268000,262000,3649.0,Wales,3.0,1,1977,1977,UKBMS,52.240313,-3.9346044
Vane Farm,NO160990,316000,799000,2253.0,Scotland,6.0,20,1977,2009,UKBMS,57.07433,-3.3871739
Ben Lawers,NN6139,261000,739000,3432.0,Scotland,6.0,40,1977,2020,UKBMS,56.522425,-4.2610517
Leighton Moss,SD48207500,348200,475000,5922.0,England,15.0,38,1977,2015,UKBMS,54.168169,-2.7949246
Radipole Lake,SY670800,367000,80000,1649.0,England,6.0,31,1977,2020,UKBMS,50.618767,-2.4678252
Gibralter Point,TF560580,556000,358000,4570.0,England,12.0,44,1974,2020,UKBMS,53.096406,0.32837821
Hatton Green,SP220670,422000,267000,,England,15.0,2,1977,1978,UKBMS,52.300686,-1.6788012
Skomer,SM72900930,172900,209300,3012.0,Wales,9.0,37,1977,2019,UKBMS,51.736278,-5.2904922
Hampstead Heath,TQ270863,527000,186300,1856.0,England,11.0,41,1977,2020,UKBMS,51.561289,-0.16928395
Inverpolly,NC000100,200000,910000,3469.0,Scotland,13.0,14,1977,1990,UKBMS,58.033932,-5.3892222
Swale,TR03606750,603600,167500,,England,8.0,2,1977,1978,UKBMS,51.370048,0.92367421
Loch Garten,NH970180,297000,818000,3645.0,Scotland,11.0,41,1977,2020,UKBMS,57.241071,-3.708277
Avon Gorge 1,ST560730,356000,173000,5761.0,England,11.0,6,1976,1981,UKBMS,51.454261,-2.6346304
Avon Gorge 2,ST560730,356000,173000,3786.0,England,11.0,22,1977,1999,UKBMS,51.454261,-2.6346304
Nagshead,SO600090,360000,209000,3428.0,England,10.0,37,1977,2020,UKBMS,51.778228,-2.5811878
Loch Lomond,NS4387,243000,687000,2034.0,Scotland,10.0,9,1977,1985,UKBMS,56.050036,-4.5223943
Harting Down,SU760170,476000,117000,,England,6.0,2,1976,1977,UKBMS,50.947436,-0.91952265
Tynllan,SJ050160,305000,316000,,Wales,14.0,3,1977,1979,UKBMS,52.733262,-3.4083577
Kingston Hill Farm,SP403004,440303,200446,3272.0,England,15.0,2,1977,1978,UKBMS,51.701317,-1.4182129
Weeting Heath,TL750880,575000,288000,3037.0,England,6.0,31,1977,2016,UKBMS,52.461901,0.57445494
Lindisfarne,NU130430,413000,643000,3000.0,England,6.0,43,1977,2019,UKBMS,55.680316,-1.7948324
Insh Marshes,NH810010,281000,801000,3482.0,Scotland,13.0,42,1977,2020,UKBMS,57.084568,-3.9651035
Northward Hill,TQ780760,578000,176000,1998.0,England,9.0,38,1977,2020,UKBMS,51.454996,0.56057246
Fairburn Ings,SE460270,446000,427000,4087.0,England,5.0,1,1977,1977,UKBMS,53.737365,-1.3041172
Skokholm,SM73800520,173800,205200,1270.0,Wales,10.0,24,1977,2004,UKBMS,51.699838,-5.274818
Woodwalton Fen,TL230840,523000,284000,3940.0,England,7.0,40,1978,2019,UKBMS,52.440136,-0.19192112
Tentsmuir Point,NO500270,350000,727000,4187.0,Scotland,10.0,19,1978,1996,UKBMS,56.432533,-2.8123602
Carnforth Marsh,SD48017243,348010,472430,2384.0,England,9.0,7,1978,1984,UKBMS,54.145055,-2.7973903
Minsmere,TM460670,646000,267000,3287.0,England,12.0,1,1978,1978,UKBMS,52.246153,1.6022288
Holme Dunes,TF710440,571000,344000,2035.0,England,8.0,42,1978,2019,UKBMS,52.966093,0.54475339
Newborough Warren,SH420640,242000,364000,2141.0,Wales,15.0,17,1978,1994,UKBMS,53.149639,-4.3640797
Castle Hill,TQ370070,537000,107000,2739.0,England,12.0,42,1978,2019,UKBMS,50.846309,-0.055359796
Gait Barrows,SD4777,347000,477000,1400.0,England,9.0,43,1978,2020,UKBMS,54.18602,-2.8136559
Wart Barrow,SD380770,338000,477000,1372.0,England,4.0,18,1978,1996,UKBMS,54.185009,-2.9515501
Howe Park Wood,SP840340,484000,234000,,England,14.0,3,1978,1980,UKBMS,51.9981,-0.77788763
Tuddenham Heath,TL740720,574000,272000,,England,5.0,1,1978,1978,UKBMS,52.318521,0.55144785
Wicken Fen,TL560700,556000,270000,3647.0,England,15.0,28,1979,2006,UKBMS,52.305962,0.2866728
Morton Lochs,NO460260,346000,726000,2958.0,Scotland,10.0,18,1979,1996,UKBMS,56.423108,-2.8770059
Morrone Birkwood,NO130900,313000,790000,3776.0,Scotland,8.0,21,1979,2000,UKBMS,56.99295,-3.4335239
St Cyrus,NO7463,374000,763000,3423.0,Scotland,15.0,14,1979,1994,UKBMS,56.757879,-2.4268455
Warren Farm,TR030490,603000,149000,,England,12.0,2,1979,1980,UKBMS,51.204129,0.90455927
South Stack Cliffs,SH210810,221000,381000,3256.0,Wales,13.0,5,1979,1983,UKBMS,53.295637,-4.6872907
South Stack Ranges,SH220800,222000,380000,2290.0,Wales,13.0,22,1979,2019,UKBMS,53.286995,-4.6717433
Pewsey Down,SU110630,411000,163000,2017.0,England,6.0,40,1979,2020,UKBMS,51.365959,-1.8433825
Ampfield Wood,SU410238,441000,123800,1532.0,England,11.0,42,1979,2020,UKBMS,51.012126,-1.4169386
Derbyshire Dales,SK1865,418000,365000,4770.0,England,11.0,42,1979,2020,UKBMS,53.181798,-1.7321162
Alresford,SU580330,458000,133000,3868.0,England,12.0,42,1979,2020,UKBMS,51.093385,-1.1731632
Sands of Forvie,NK020270,402000,827000,5674.0,Scotland,10.0,21,1979,1999,UKBMS,57.333528,-1.9684254
West Dean Wood,SU850160,485000,116000,2282.0,England,15.0,39,1979,2018,UKBMS,50.937191,-0.79167076
Roe Valley Country Park,NS030790,203000,679000,,Scotland,9.0,1,1979,1979,UKBMS,55.963481,-5.1577856
Woods Mill,TQ210130,521000,113000,1422.0,England,14.0,38,1979,2017,UKBMS,50.903804,-0.28053099
Murlough,J4135,150060,489996,4794.0,Northern Ireland,15.0,42,1979,2020,UKBMS,54.244447,-5.8377955
Martin Down,SU050180,405000,118000,2696.0,England,12.0,42,1979,2020,UKBMS,50.961404,-1.930178
Cwm Risca Farm,SS870840,287000,184000,2748.0,Wales,15.0,1,1979,1979,UKBMS,51.543547,-3.6308921
Wyre Forest,SO75507660,375500,276600,2600.0,England,15.0,42,1979,2020,UKBMS,52.386875,-2.3614065
Coombes Valley,SK000530,400000,353000,2168.0,England,15.0,25,1979,2019,UKBMS,53.074231,-2.0014518
Lullington Heath,TQ540020,554000,102000,3886.0,England,15.0,41,1979,2019,UKBMS,50.797108,0.18384113
Erisey Barton,SW710170,171000,17000,,England,13.0,3,1980,1982,UKBMS,50.009056,-5.1974659
Moor Farm,TF220630,522000,363000,2097.0,England,11.0,29,1974,2007,UKBMS,53.150175,-0.17718593
Ynys Hir,SN670950,267000,295000,5267.0,Wales,15.0,27,1981,2007,UKBMS,52.536572,-3.9623514
Newton Links,NU230260,423000,626000,2441.0,England,9.0,38,1981,2019,UKBMS,55.527201,-1.6372223
Pickett Wood,ST870540,387000,154000,1194.0,England,5.0,40,1981,2020,UKBMS,51.284987,-2.1877886
Inverpolly,NC080130,208000,913000,,Scotland,9.0,1,1981,1981,UKBMS,58.064366,-5.2564254
Barnack Hills & Holes,TF070040,507000,304000,1669.0,England,10.0,39,1981,2019,UKBMS,52.623229,-0.42076543
RSPB Blean Woods,TR100600,610000,160000,4400.0,England,15.0,39,1982,2020,UKBMS,51.300375,1.0110682
Batch Farm,SO880110,388000,211000,761.0,England,13.0,24,1982,2005,UKBMS,51.797516,-2.1754122
Morris' Wood,TQ550310,555000,131000,2025.0,England,15.0,12,1982,1993,UKBMS,51.057426,0.21033864
Yardley Hill,TQ380950,538000,195000,,England,15.0,1,1982,1982,UKBMS,51.636885,-0.00727675
Pynes Farmhouse,ST400200,340000,120000,953.0,England,7.0,11,1983,1993,UKBMS,50.976271,-2.8559902
St Osyth,TM110170,611000,217000,2151.0,England,9.0,37,1983,2020,UKBMS,51.811791,1.0595661
Luckett Wood,SX390720,239000,72000,1665.0,England,14.0,41,1980,2020,UKBMS,50.525574,-4.2727615
Stour Wood,TM19103130,619100,231300,3910.0,England,12.0,37,1983,2020,UKBMS,51.937049,1.1859483
Shabbington Wood,SP620100,462000,210000,4156.0,England,10.0,13,1984,1997,UKBMS,51.785234,-1.1025906
Oakley Woods,SP610110,461000,211000,2549.0,England,9.0,32,1985,2020,UKBMS,51.794334,-1.1169102
Taynish,NR720820,172000,682000,3894.0,Scotland,12.0,33,1985,2020,UKBMS,55.97667,-5.6559278
Whitecross Green Wood,SP600140,460000,214000,1853.0,England,11.0,35,1986,2020,UKBMS,51.821411,-1.1308899
Ham Street Wood,TR000340,600000,134000,3038.0,England,13.0,25,1986,2019,UKBMS,51.070474,0.85335056
Folkestone Escarpment,TR21803810,621800,138100,3663.0,England,15.0,32,1987,2020,UKBMS,51.099282,1.1665471
Cors y Llyn,SO010550,301000,255000,2170.0,Wales,12.0,10,1987,2000,UKBMS,52.184332,-3.4494543
Somerford Common (old),SU020860,402000,186000,5099.0,England,13.0,3,1987,1989,UKBMS,51.572865,-1.9725364
Springhill Farm,TQ810300,581000,130000,2440.0,England,11.0,26,1987,2012,UKBMS,51.040844,0.58046261
Glen Strathfarrer,NH380360,238000,836000,5962.0,Scotland,12.0,9,1988,2003,UKBMS,57.385499,-4.6966689
Roudsea,SD33308220,333300,482200,3131.0,England,15.0,26,1989,2016,UKBMS,54.231145,-3.0247141
Fontmell Down,ST880170,388000,117000,4046.0,England,14.0,8,1989,1996,UKBMS,50.952305,-2.1722067
Lydden,TR270450,627000,145000,1846.0,England,9.0,18,1986,2019,UKBMS,51.159195,1.2450342
Ariundle,NM830640,183000,764000,2245.0,Scotland,15.0,22,1989,2014,UKBMS,56.717083,-5.5476921
Smardale Gill,NY7206,372000,506000,3173.0,England,11.0,26,1989,2020,UKBMS,54.448619,-2.4333112
Mottistone Down,SZ41708460,441700,84600,1590.0,England,8.0,31,1989,2020,UKBMS,50.659589,-1.4114095
Church Place,SU340090,434000,109000,2088.0,England,15.0,31,1989,2020,UKBMS,50.879499,-1.5180934
Pitts Wood,SU190140,419000,114000,3030.0,England,7.0,10,1989,2020,UKBMS,50.925146,-1.7310415
St Margaret's Bay,TR360430,636000,143000,4926.0,England,10.0,12,1989,2001,UKBMS,51.137604,1.3722023
Tadnoll,SY79108750,379100,87500,3370.0,England,10.0,32,1989,2020,UKBMS,50.686773,-2.2972171
Bovey Valley,SX800780,280000,78000,1600.0,England,8.0,31,1989,2020,UKBMS,50.589362,-3.696581
East Blean Woods,TR180640,618000,164000,3627.0,England,15.0,26,1989,2019,UKBMS,51.333283,1.128092
Somerford Common,SU020860,402000,186000,3249.0,England,13.0,27,1989,2020,UKBMS,51.572865,-1.9725364
Thorne Moors,SE710150,471000,415000,3999.0,England,5.0,17,1990,2010,UKBMS,53.626728,-0.9279184
Hickling Broad,TG420220,642000,322000,1652.0,England,10.0,5,1988,1992,UKBMS,52.741414,1.5836984
Blean Woods,TR110600,611000,160000,2005.0,England,15.0,29,1991,2020,UKBMS,51.300005,1.0253918
Culvie Wood,NJ590530,359000,853000,3093.0,Scotland,14.0,21,1991,2011,UKBMS,57.565209,-2.686988
Pollymore,NC070170,207000,917000,983.0,Scotland,9.0,20,1991,2011,UKBMS,58.0998,-5.2766346
Rothamsted Farm,TL120130,512000,213000,3069.0,England,12.0,20,1991,2010,UKBMS,51.804433,-0.37701808
Loch Fleet,NH81409640,281400,896400,3128.0,Scotland,8.0,24,1993,2020,UKBMS,57.941087,-4.0049629
Whitlaw Mosses,NT50502850,350500,628500,1025.0,Scotland,9.0,21,1992,2016,UKBMS,55.547678,-2.7860838
Newborough Warren,SH420640,242000,364000,,Wales,15.0,21,1995,2018,UKBMS,53.149639,-4.3640797
St Cyrus (new),NO740670,374000,767000,3600.0,Scotland,15.0,34,1983,2020,UKBMS,56.793812,-2.4272539
Whixall Moss (a),SJ490390,349000,339000,2800.0,Wales,10.0,16,1993,2020,UKBMS,52.945949,-2.760425
Denmark Farm,SN590540,259000,254000,2966.0,Wales,15.0,10,1993,2002,UKBMS,52.166204,-4.0629897
Kenfig,SS800810,280000,181000,4407.0,Wales,10.0,23,1993,2019,UKBMS,51.515139,-3.7307633
Killard Point,J6043,169672,496353,,Northern Ireland,15.0,17,1994,2015,UKBMS,54.31067,-5.5423301
Rhos Llawr Cwrt,SN410490,241000,249000,1637.0,Wales,11.0,26,1994,2019,UKBMS,52.116394,-4.3236076
Pengelli,SN130390,213000,239000,4015.0,Wales,10.0,4,1994,1997,UKBMS,52.017827,-4.726603
Brodick Country Park,NS01903820,201900,638200,1801.0,Scotland,13.0,23,1995,2019,UKBMS,55.596999,-5.1457214
Hickling Broad,TG420220,642000,322000,1680.0,England,3.0,12,1995,2011,UKBMS,52.741414,1.5836984
Shabbington Wood (new),SP620100,462000,210000,3260.0,England,10.0,25,1995,2020,UKBMS,51.785234,-1.1025906
Denge Wood,TR100510,610000,151000,1462.0,England,10.0,25,1993,2020,UKBMS,51.21956,1.0057888
Whixall Fens and Mosses,SJ480360,348000,336000,3500.0,Wales,10.0,13,1993,2015,UKBMS,52.918888,-2.7748236
Fontmell Down (new),ST880170,388000,117000,3809.0,England,14.0,41,1980,2020,UKBMS,50.952305,-2.1722067
Gunthorpe,SK660440,466000,344000,2534.0,England,12.0,7,1997,2003,UKBMS,52.989279,-1.0182534
Mabie Forest,NX920700,292000,570000,3500.0,Scotland,11.0,21,1995,2020,UKBMS,55.012791,-3.6904346
Bishop Middleham Quarry,NZ33203270,433200,532700,2225.0,England,14.0,22,1997,2020,UKBMS,54.688258,-1.4865123
Gear Sands,SW570400,157000,40000,,England,12.0,3,1999,2001,UKBMS,50.21,-5.4071453
Blackford Hill,NT250700,325000,670000,3206.0,Scotland,13.0,16,1999,2020,UKBMS,55.917219,-3.2015517
Carty Port,NX430620,243000,562000,,Scotland,8.0,2,1999,2000,UKBMS,54.927916,-4.4516523
Sands of Forvie (new),NK010260,401000,826000,3655.0,Scotland,7.0,22,1999,2020,UKBMS,57.324548,-1.9850388
Great Orme,SH760830,276000,383000,4476.0,Wales,15.0,21,1999,2020,UKBMS,53.329342,-3.8634024
Creag Meagaidh,NN470870,247000,787000,3156.0,Scotland,15.0,13,1997,2010,UKBMS,56.948879,-4.5170373
Loddington (Arable),SK780020,478000,302000,2245.0,England,12.0,2,2000,2001,UKBMS,52.610188,-0.84953077
Loddington (Embankment),SK780020,478000,302000,2240.0,England,10.0,2,2000,2001,UKBMS,52.610188,-0.84953077
Writtle College (West),TL670070,567000,207000,3666.0,England,12.0,18,2000,2019,UKBMS,51.736829,0.41714849
Writtle College (East),TL680070,568000,207000,2448.0,England,8.0,18,2000,2019,UKBMS,51.73653,0.4316168
Grange Farm (North) A,TL320630,532000,263000,2879.0,England,20.0,20,2000,2019,UKBMS,52.249353,-0.067842399
Grange Farm (South),TL320630,532000,263000,2574.0,England,15.0,20,2000,2019,UKBMS,52.249353,-0.067842399
St. Abb's Head,NT910670,391000,667000,4068.0,Scotland,10.0,21,1999,2019,UKBMS,55.896041,-2.1454889
Lochaber,NX920690,292000,569000,2661.0,Scotland,11.0,11,2000,2016,UKBMS,55.003809,-3.6900568
North Warren,TM450580,645000,258000,4182.0,England,15.0,28,1991,2018,UKBMS,52.165843,1.5811051
Callendar Wood,NS89507870,289500,678700,3346.0,Scotland,11.0,10,2000,2010,UKBMS,55.9885,-3.7728528
Cheriton Hill,TR190380,619000,138000,1304.0,England,9.0,22,1992,2014,UKBMS,51.09946,1.1265589
Grange Farm (North) B,TL320630,532000,263000,2900.0,England,10.0,20,2000,2019,UKBMS,52.249353,-0.067842399
Dean Castle Country Park,NS43903960,243900,639600,2366.0,Scotland,7.0,5,2002,2006,UKBMS,55.624849,-4.4807028
Bodmin Beacon LNR,SX06506650,206500,66500,1764.0,England,8.0,9,2002,2011,UKBMS,50.46632,-4.727918
Glasdrum,NN000450,200000,745000,,Scotland,11.0,18,2002,2020,UKBMS,56.554262,-5.2556951
Sandwell Valley,SP030920,403000,292000,3090.0,England,15.0,4,2003,2006,UKBMS,52.525866,-1.9572121
Cavenham Heath,TL760720,576000,272000,3315.0,England,10.0,17,2003,2019,UKBMS,52.317884,0.58075909
Aberarder Mountain Ringlet,NN470870,247000,787000,,Scotland,7.0,15,1994,2016,UKBMS,56.948879,-4.5170373
Scamodale,NM84107360,184100,773600,1815.0,Scotland,11.0,8,2003,2010,UKBMS,56.803672,-5.5378507
Torrington Commons,SS480190,248000,119000,2400.0,England,6.0,7,2002,2008,UKBMS,50.950337,-4.1652861
Wootton Coppice,SZ240990,424000,99000,,England,7.0,16,2004,2020,UKBMS,50.790076,-1.6608821
Cragbank,NT590070,359000,607000,,Scotland,10.0,1,2004,2004,UKBMS,55.355293,-2.6482015
Tentsmuir Point North Revised,NO500279,350000,727900,2900.0,Scotland,8.0,16,2005,2020,UKBMS,56.440617,-2.8125327
Tentsmuir Point (South),NO500270,350000,727000,,Scotland,,1,2005,2005,UKBMS,56.432533,-2.8123602
Morton Lochs,NO46302680,346300,726800,2900.0,Scotland,9.0,16,2004,2020,UKBMS,56.430329,-2.8723078
Hengistbury Head,SZ17809040,417800,90400,3803.0,England,14.0,42,1979,2020,UKBMS,50.712962,-1.7492526
Skokholm (new),SM73500500,173500,205000,,Wales,,3,2005,2007,UKBMS,51.697922,-5.2790218
Tentsmuir Point South Revised,NO500270,350000,727000,1700.0,Scotland,7.0,15,2006,2020,UKBMS,56.432533,-2.8123602
Kitts Grave,SU03502100,403500,121000,,England,12.0,1,1996,1996,UKBMS,50.988391,-1.9515085
Martin Down (N),SU040180,404000,118000,1529.0,England,9.0,1,1996,1996,UKBMS,50.961411,-1.944417
Allt Marchaidh,NH88600410,288600,804100,1727.0,Scotland,8.0,5,2003,2009,UKBMS,57.114304,-3.8411613
Glensaugh (upper),NO650800,365000,780000,,Scotland,4.0,17,1997,2014,UKBMS,56.909999,-2.5763754
Y Wyddfa,SH620540,262000,354000,2265.0,Wales,5.0,17,1996,2012,UKBMS,53.065367,-4.0609395
Porton Down,SU240350,424000,135000,2700.0,England,15.0,25,1994,2019,UKBMS,51.113793,-1.65852
Sourhope,NT840200,384000,620000,1287.0,Scotland,6.0,18,1993,2010,UKBMS,55.47356,-2.25466
Moor House,NY75203320,375200,533200,1919.0,England,10.0,28,1993,2020,UKBMS,54.693222,-2.3862695
Wytham,SP470100,447000,210000,4794.0,England,13.0,28,1993,2020,UKBMS,51.786692,-1.320026
North Wyke,SX660985,266000,98500,4738.0,England,15.0,27,1993,2020,UKBMS,50.770563,-3.9016824
Hillsborough,J2457,134989,513366,,Northern Ireland,10.0,23,1993,2016,UKBMS,54.446366,-6.0892675
Glensaugh,NO660780,366000,778000,5135.0,Scotland,11.0,21,1994,2018,UKBMS,56.892108,-2.5596859
Drayton,SP16305540,416300,255400,2167.0,England,12.0,19,1993,2011,UKBMS,52.196597,-1.7629442
Alice Holt,SU800400,480000,140000,1930.0,England,4.0,27,1994,2020,UKBMS,51.153675,-0.85751944
Stockbridge Down,SU38203480,438200,134800,1500.0,England,15.0,35,1983,2020,UKBMS,51.111227,-1.4556913
Ashford Hangers 1,SU74202680,474200,126800,2000.0,England,11.0,21,1987,2020,UKBMS,51.03578,-0.94314184
Anton Lakes 1,SU360467,436000,146700,1500.0,England,8.0,3,1996,1998,UKBMS,51.21837,-1.4859295
Badminston Common,SU460020,446000,102000,2190.0,England,10.0,22,1993,2020,UKBMS,50.815728,-1.3484125
Beacon Hill,SU60302270,460300,122700,1400.0,England,10.0,40,1980,2020,UKBMS,51.00054,-1.1420362
Bentley Station Meadow,SU79404280,479400,142800,950.0,England,3.0,28,1993,2020,UKBMS,51.178931,-0.86547926
Bonchurch Down,SZ57607850,457600,78500,650.0,England,9.0,28,1993,2020,UKBMS,50.603386,-1.1874301
Broughton Down,SU29403270,429400,132700,2000.0,England,10.0,10,1987,2002,UKBMS,51.092862,-1.5815655
Claylands,SU54701810,454700,118100,1600.0,England,8.0,25,1996,2020,UKBMS,50.959738,-1.2225247
Farlington Marshes Route A,SU68200440,468200,104400,1420.0,England,5.0,23,1993,2020,UKBMS,50.835122,-1.0328851
Hocombe Mead,SU430227,443000,122700,2400.0,England,8.0,18,1994,2013,UKBMS,51.002089,-1.3885613
Hookheath Meadows,SU64700790,464700,107900,,England,,7,1994,2002,UKBMS,50.866993,-1.0819629
Itchen Valley CP Meadows,SU45801620,445800,116200,2450.0,England,6.0,26,1993,2018,UKBMS,50.943428,-1.3494765
Lower Test Marshes,SU36401490,436400,114900,3729.0,England,11.0,30,1991,2020,UKBMS,50.932407,-1.4833946
Ludshott Common,SU85303570,485300,135700,1150.0,England,8.0,10,1994,2017,UKBMS,51.114253,-0.78277315
Magdalen Hill Down,SU50502920,450500,129200,1950.0,England,10.0,31,1990,2020,UKBMS,51.059926,-1.2807799
Magdalen Hill Down extension,SU51502920,451500,129200,1600.0,England,8.0,25,1996,2020,UKBMS,51.059837,-1.2665119
Martin Down Kitts Grave,SU03402030,403400,120300,1465.0,England,12.0,36,1985,2020,UKBMS,50.982097,-1.9529396
Martin Down North,SU04501900,404500,119000,1375.0,England,9.0,39,1982,2020,UKBMS,50.9704,-1.9372854
Noar Hill,SU74103200,474100,132000,2383.0,England,15.0,38,1983,2020,UKBMS,51.082544,-0.94350449
Oxenbourne Down,SU71201860,471200,118600,2000.0,England,12.0,14,1984,2004,UKBMS,50.962434,-0.98752574
Pamber Forest,SU61506100,461500,161000,5300.0,England,15.0,37,1984,2020,UKBMS,51.344765,-1.1183968
Parkhurst Forest,SZ47709030,447700,90300,3050.0,England,14.0,11,1995,2007,UKBMS,50.710384,-1.3257963
Portsdown Hill West,SU62100670,462100,106700,2200.0,England,,9,1993,2001,UKBMS,50.856488,-1.1191082
Portsdown Hill East,SU67500630,467500,106300,1900.0,England,,8,1995,2002,UKBMS,50.852288,-1.0424745
Sandy Point Hayling Island,SZ74809830,474800,98300,2300.0,England,10.0,16,1989,2004,UKBMS,50.779463,-0.94041837
Silchester Common,SU62206230,462200,162300,1020.0,England,5.0,18,1994,2015,UKBMS,51.356377,-1.108121
St Catherine's Hill,SU48402750,448400,127500,1371.0,England,12.0,20,1986,2005,UKBMS,51.044821,-1.3109697
Swanwick NR,SU50801000,450800,110000,2300.0,England,14.0,24,1994,2020,UKBMS,50.887262,-1.279176
Lower Test - Testwood Park House,SU35801450,435800,114500,1906.0,England,9.0,29,1992,2020,UKBMS,50.928847,-1.4919715
Titchfield Haven (Old),SU53300240,453300,102400,1950.0,England,6.0,8,1990,2000,UKBMS,50.8187,-1.2447423
Coombe Bottom & St Boniface Down (Ventnor),SZ56507830,456500,78300,1100.0,England,11.0,32,1989,2020,UKBMS,50.601695,-1.2030027
Newton - Walters Copse,SZ43109050,443100,90500,1317.0,England,7.0,25,1996,2020,UKBMS,50.712541,-1.3909179
West Down (Chilbolton),SU38503890,438500,138900,2300.0,England,10.0,31,1988,2020,UKBMS,51.148073,-1.4509693
Wendleholme,SU49400730,449400,107300,1800.0,England,11.0,18,1987,2004,UKBMS,50.863105,-1.2994413
Westbury House Park,SU660235,466000,123500,1529.0,England,,12,1993,2005,UKBMS,51.007108,-1.0606712
Winnall Moors,SU48803050,448800,130500,4000.0,England,12.0,27,1987,2020,UKBMS,51.071762,-1.3048607
