Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type,latitude,longitude
,SZ5083,450000,83000,,England,,2,2017,2019,WCBS,50.64455,-1.2942091
,TL0098,500000,298000,,England,,4,2017,2020,WCBS,52.570641,-0.52594598
,NZ9900,499000,500000,,England,,3,2017,2019,WCBS,54.385874,-0.47705275
,J1673,128380,529997,,Northern Ireland,,3,2017,2019,WCBS,54.591936,-6.2062288
,TM1234,612000,234000,,England,,3,2017,2019,WCBS,51.964036,1.0844893
,TQ0892,508000,192000,,England,,4,2017,2020,WCBS,51.616475,-0.44150855
,TL1548,515000,248000,,England,,4,2017,2020,WCBS,52.118367,-0.32182151
,TL8778,587000,278000,,England,,2,2017,2018,WCBS,52.36813,0.74528785
,TQ2761,527000,161000,,England,,1,2017,2017,WCBS,51.333919,-0.17835549
,ST8288,382000,188000,,England,,4,2017,2020,WCBS,51.59056,-2.2612216
,NS8279,282000,679000,,Scotland,,4,2017,2020,WCBS,55.989407,-3.8931352
,SN7399,273000,299000,,Wales,,1,2017,2017,WCBS,52.573946,-3.8754741
,TL2647,526000,247000,,England,,4,2017,2020,WCBS,52.106986,-0.16162006
,SE6089,460000,489000,,England,,4,2017,2020,WCBS,54.293108,-1.0796909
,TA0437,504000,437000,,England,,1,2017,2017,WCBS,53.818884,-0.42173166
,TQ1127,511000,127000,,England,,4,2017,2020,WCBS,51.031655,-0.41842087
,TL7040,570000,240000,,England,,4,2017,2020,WCBS,52.032351,0.4767985
,H2528,33807,492876,,Northern Ireland,,4,2017,2020,WCBS,54.200371,-7.6176778
,TQ9155,591000,155000,,England,,4,2017,2020,WCBS,51.262154,0.73619224
,NO0694,306000,794000,,Scotland,,1,2017,2017,WCBS,57.027497,-3.5501819
,SD9113,391000,413000,,England,,4,2017,2020,WCBS,53.613471,-2.1375132
,TM5195,651000,295000,,England,,4,2017,2020,WCBS,52.4951,1.6962474
,TL7882,578000,282000,,England,,3,2017,2020,WCBS,52.407048,0.61536961
,SD7233,372000,433000,,England,,4,2017,2020,WCBS,53.792553,-2.426517
,SY6184,361000,84000,,England,,3,2017,2020,WCBS,50.654365,-2.5530551
,TM2984,629000,284000,,England,,3,2017,2019,WCBS,52.406053,1.3652457
,NT7970,379000,670000,,Scotland,,4,2017,2020,WCBS,55.922618,-2.337607
,SE4224,442000,424000,,England,,1,2017,2017,WCBS,53.710739,-1.3651591
,SK5951,459000,351000,,England,,3,2017,2019,WCBS,53.05301,-1.1212403
,NT1591,315000,691000,,Scotland,,1,2017,2017,WCBS,56.104178,-3.3681532
,SE4817,448000,417000,,England,,2,2017,2019,WCBS,53.647311,-1.2753442
,TQ4009,540000,109000,,England,,4,2017,2020,WCBS,50.863566,-0.012009384
,J4099,154519,553857,,Northern Ireland,,1,2017,2017,WCBS,54.819253,-5.8227375
,SD6072,360000,472000,,England,,1,2017,2017,WCBS,54.142266,-2.6137963
,SU9853,498000,153000,,England,,4,2017,2020,WCBS,51.267739,-0.59667845
,SE4381,443000,481000,,England,,1,2017,2017,WCBS,54.222924,-1.341993
