ind,Site Number,Gridreference,Easting, Northing,updatedgridref,latitude,longitude
87,2828,SK398668,439800,366800,SK3980066800,53.196798,-1.4057060
88,2831,SK704535,470400,353500,SK7040053500,53.074102,-0.95064845
89,2832,SK398515,439800,351500,SK3980051500,53.059274,-1.4075993
90,2833,SK402511,440200,351100,SK4020051100,53.055649,-1.4016811
91,2834,SK506332,450600,333200,SK5060033200,52.893875,-1.2493222
92,2844,SK025821,402500,382100,SK0250082100,53.335802,-1.9639194
93,2860,SK343493,434300,349300,SK3430049300,53.039879,-1.4898939
94,2861,SK339372,433900,337200,SK3390037200,52.931140,-1.4971233
95,2871,SK495324,449500,332400,SK4950032400,52.886787,-1.2657927
96,2872,SK095758,409500,375800,SK0950075800,53.279095,-1.8589859
97,2879,SK329156,432900,315600,SK3290015600,52.737037,-1.5141696
98,2883,SK222561,422200,356100,SK2220056100,53.101640,-1.6698847
99,2884,SK168701,416800,370100,SK1680070100,53.227680,-1.7498054
100,2885,SK285554,428500,355400,SK2850055400,53.095050,-1.5758553
101,2892,SK052721,405200,372100,SK0520072100,53.245895,-1.9235332
102,2971,NZ041294,404100,529400,NZ0410029400,54.659673,-1.9379626
103,2986,NZ463218,446300,521800,NZ4630021800,54.589280,-1.2850369
104,3012,SS880840,288000,184000,SS8800084000,51.543747,-3.6164780
105,3039,SO12202630,312200,226300,SO1220026300,51.928265,-3.2782966
106,3046,SR98209450,198200,194500,SR9820094500,51.613065,-4.9160624
107,3059,SH605447,260500,344700,SH6050044700,52.981434,-4.0792861
108,3060,SH601447,260100,344700,SH6010044700,52.981329,-4.0852397
109,3116,TM13105430,613100,254300,TM1310054300,52.145857,1.1131280
110,3135,TL861636,586100,263600,TL8610063600,52.239124,0.72413205
111,3211,TL41505500,541500,255000,TL4150055000,52.175119,0.067880468
112,3215,TL61206200,561200,262000,TL6120062000,52.232600,0.35905441
113,3217,TM06501850,606500,218500,TM0650018500,51.826938,0.99527561
114,3218,TQ720875,572000,187500,TQ7200087500,51.560154,0.47990701
115,3221,TL32509250,532500,292500,TL3250092500,52.514289,-0.048871244
116,3223,TL51305940,551300,259400,TL5130059400,52.212050,0.21304661
117,3225,TL570644,557000,264400,TL5700064400,52.255372,0.29872182
118,3228,TQ66408740,566400,187400,TQ6640087400,51.560934,0.39915065
119,3236,TL490440,549000,244000,TL4900044000,52.074322,0.17266422
120,3252,TL942060,594200,206000,TL9420006000,51.719093,0.81003560
121,3302,TG18900750,618900,307500,TG1890007500,52.621111,1.2324758
122,3331,TF654216,565400,321600,TF6540021600,52.766671,0.45008892
123,3367,TG226103,622600,310300,TG2260010300,52.644738,1.2889261
124,3405,SD80906950,380900,469500,SD8090069500,54.121005,-2.2937173
125,3410,SD97506450,397500,464500,SD9750064500,54.076419,-2.0397008
126,3440,SD970685,397000,468500,SD9700068500,54.112367,-2.0473836
127,3480,SE719425,471900,442500,SE7190042500,53.873731,-0.90792316
128,3491,SE543657,454300,465700,SE5430065700,54.084360,-1.1714486
129,3574,H867828,100010,542267,NW0001042267,54.685808,-6.6564407
130,3604,ST76409410,376400,194100,ST7640094100,51.645198,-2.3424679
131,3628,SO463924,346300,292400,SO4630092400,52.526812,-2.7929614
132,3658,SO851529,385100,252900,SO8510052900,52.174154,-2.2192985
133,3828,SU383235,438300,123500,SU3830023500,51.009614,-1.4554555
134,3837,SU607497,460700,149700,SU6070049700,51.243255,-1.1317992
135,3861,SU597488,459700,148800,SU5970048800,51.235269,-1.1462731
136,4218,NT467293,346700,629300,NT4670029300,55.554465,-2.8464574
137,4229,NN240796,224000,779600,NN2400079600,56.874311,-4.8895221
138,4237,NN056387,205600,738700,NN0560038700,56.500101,-5.1600269
139,4242,NN071401,207100,740100,NN0710040100,56.513276,-5.1367357
140,4249,NO212923,321200,792300,NO2120092300,57.015079,-3.2993251
141,4255,NT468999,346800,699900,NT4680099900,56.188737,-2.8587609
142,4260,NN530005,253000,700500,NN5300000500,56.174400,-4.3694316
143,4603,TQ315604,531500,160400,TQ3150060400,51.327505,-0.11401811
144,4604,TQ066490,506600,149000,TQ0660049000,51.230242,-0.47464339
145,4605,TQ005718,500500,171800,TQ0050071800,51.436294,-0.55555212
146,4606,TQ353516,535300,151600,TQ3530051600,51.247532,-0.062842041
147,4608,SU841422,484100,142200,SU8410042200,51.172866,-0.79839638
148,4613,SU935417,493500,141700,SU9350041700,51.166913,-0.66410388
149,4616,SU856475,485600,147500,SU8560047500,51.220290,-0.77568321
150,4622,SU976487,497600,148700,SU9760048700,51.229154,-0.60358123
151,4624,TQ231637,523100,163700,TQ2310063700,51.359042,-0.23337640
152,4628,TQ173471,517300,147100,TQ1730047100,51.211068,-0.32208490
153,4634,TQ376541,537600,154100,TQ3760054100,51.269448,-0.028948262
154,4635,TQ144689,514400,168900,TQ1440068900,51.407596,-0.35659878
155,4637,TQ051411,505100,141100,TQ0510041100,51.159508,-0.49842861
156,4643,TQ361798,536100,179800,TQ3610079800,51.500759,-0.040596384
157,4644,TQ256407,525600,140700,TQ2560040700,51.151785,-0.20555542
158,4645,TQ151501,515100,150100,TQ1510050100,51.238480,-0.35260417
159,4648,TQ386543,538600,154300,TQ3860054300,51.271004,-0.014545429
160,4650,TQ340649,534000,164900,TQ3400064900,51.367362,-0.076465377
161,4651,TQ293403,529300,140300,TQ2930040300,51.147367,-0.15282554
162,4659,TQ316738,531600,173800,TQ3160073800,51.447904,-0.10762203
163,4663,TQ342571,534200,157100,TQ3420057100,51.297219,-0.076529944
164,4665,TQ330777,533000,177700,TQ3300077700,51.482625,-0.086021607
165,4666,TQ332776,533200,177600,TQ3320077600,51.481679,-0.083180765
166,4667,TQ207663,520700,166300,TQ2070066300,51.382924,-0.26694698
167,4668,TQ238683,523800,168300,TQ2380068300,51.400232,-0.22172641
168,4670,TQ271592,527100,159200,TQ2710059200,51.317720,-0.17756221
169,4673,TQ222756,522200,175600,TQ2220075600,51.466186,-0.24219882
170,4674,TQ217773,521700,177300,TQ2170077300,51.481572,-0.24880823
171,4707,SP278013,427800,201300,SP2780001300,51.709751,-1.5990583
172,4720,SU579728,457900,172800,SU5790072800,51.451232,-1.1681564
173,4818,SK264124,426400,312400,SK2640012400,52.708626,-1.6106919
174,4819,SK054751,405400,375100,SK0540075100,53.272860,-1.9204863
175,4821,SK035926,403500,392600,SK0350092600,53.430176,-1.9487897
176,4822,SK258727,425800,372700,SK2580072700,53.250692,-1.6147847
177,4851,SK201829,420100,382900,SK2010082900,53.342620,-1.6995691
178,4860,SK693327,469300,332700,SK6930032700,52.887300,-0.97151253
179,4861,SK705333,470500,333300,SK7050033300,52.892537,-0.95355159
180,4862,SK695337,469500,333700,SK6950033700,52.896263,-0.96832732
181,4874,SK506109,450600,310900,SK5060010900,52.693427,-1.2527639
182,4876,SK497103,449700,310300,SK4970010300,52.688117,-1.2661694
183,4878,SP611821,461100,282100,SP6110082100,52.433471,-1.1027228
184,4896,SK592385,459200,338500,SK5920038500,52.940637,-1.1205420
185,4948,SU414210,441400,121000,SU4140021000,50.986920,-1.4115556
186,5003,SJ482371,348200,337100,SJ4820037100,52.928794,-2.7720253
187,5004,SH829800,282900,380000,SH8290080000,53.303961,-3.7587407
188,5012,SH832397,283200,339700,SH8320039700,52.941940,-3.7395541
189,5101,TL960123,596000,212300,TL9600012300,51.775042,0.83960740
190,5200,TR203381,620300,138100,TR2030038100,51.099860,1.1451576
191,5209,TQ690357,569000,135700,TQ6900035700,51.095706,0.41212043
192,5212,TQ686352,568600,135200,TQ6860035200,51.091331,0.40618017
193,5303,TQ532306,553200,130600,TQ5320030600,51.054315,0.18450513
