Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
1,"Woodwalton Farm","TL210810",521000,281000,2038,"England",12,45,1976,2020,"UKBMS"
2,"Bevill's Wood","TL200790",520000,279000,1532,"England",10,44,1974,2017,"UKBMS"
3,"Holkham","TF870450",587000,345000,3454,"England",6,43,1976,2020,"UKBMS"
4,"Monks Wood","TL200800",520000,280000,2900,"England",14,48,1973,2020,"UKBMS"
5,"Monks Wood Fields","TL200800",520000,280000,,"England",15,3,1974,1976,"UKBMS"
6,"Yarner Wood","SX770780",277000,78000,3133,"England",11,44,1976,2020,"UKBMS"
7,"Brockwell's Farm","ST470890",347000,189000,812,"Wales",7,10,1976,1985,"UKBMS"
8,"Old Winchester Hill","SU64502080",464500,120800,1792,"England",10,45,1976,2020,"UKBMS"
9,"Kingley Vale","SU820100",482000,110000,6289,"England",15,43,1976,2018,"UKBMS"
10,"Oxwich","SS5087",250000,187000,4020,"Wales",13,43,1976,2019,"UKBMS"
11,"Rhinog","SH650270",265000,327000,2269,"Wales",6,5,1976,1980,"UKBMS"
12,"Leigh Marshes","TQ820850",582000,185000,1776,"England",8,41,1976,2019,"UKBMS"
13,"Craig y Cilau","SO180160",318000,216000,3521,"Wales",3,18,1976,1997,"UKBMS"
14,"Gomm Valley","SU890920",489000,192000,1219,"England",9,43,1977,2020,"UKBMS"
15,"Foxholes","SP250200",425000,220000,2909,"England",5,45,1976,2020,"UKBMS"
16,"Swanage","SZ020810",402000,81000,3397,"England",15,43,1976,2020,"UKBMS"
17,"Buttlers Hanging","SU810960",481000,196000,1158,"England",10,22,1976,2020,"UKBMS"
18,"Woodhurst","TL310750",531000,275000,2303,"England",13,10,1976,1985,"UKBMS"
19,"Studland Heath","SZ020790",402000,79000,3665,"England",14,45,1976,2020,"UKBMS"
20,"Ham Street Woods","TR000340",600000,134000,1711,"England",15,9,1976,1985,"UKBMS"
21,"Castor Hanglands","TF11800160",511800,301600,1624,"England",8,47,1974,2020,"UKBMS"
22,"Coedydd Maentwrog","SH600400",260000,340000,2099,"Wales",12,9,1976,1985,"UKBMS"
23,"Ebbor Gorge","ST52804880",352800,148800,2294,"England",8,33,1976,2009,"UKBMS"
24,"Dyfi","SN600930",260000,293000,2414,"Wales",5,44,1976,2019,"UKBMS"
25,"Chippenham Fen","TL650690",565000,269000,3255,"England",8,44,1976,2019,"UKBMS"
26,"Rostherne Mere","SJ740840",374000,384000,5360,"England",15,29,1976,2020,"UKBMS"
27,"Holme Fen","TL210890",521000,289000,4438,"England",8,44,1974,2019,"UKBMS"
28,"Walberswick","TM470740",647000,274000,3577,"England",10,35,1976,2014,"UKBMS"
29,"Aston Rowant (N)","SU730960",473000,196000,3400,"England",10,44,1976,2020,"UKBMS"
30,"Aston Rowant (S)","SU720960",472000,196000,2367,"England",10,45,1976,2020,"UKBMS"
31,"Waterperry Wood","SP6009",460000,209000,1760,"England",10,41,1976,2020,"UKBMS"
32,"Wye & Crundale Down","TR070450",607000,145000,1950,"England",12,40,1976,2020,"UKBMS"
33,"Roudsea Wood (old)","SD330820",333000,482000,,"England",15,2,1977,1978,"UKBMS"
34,"Potton Wood","TL250500",525000,250000,3960,"England",9,43,1974,2017,"UKBMS"
35,"Stow Longa","TL120690",512000,269000,1506,"England",5,2,1976,1977,"UKBMS"
36,"Bure Marshes","TG340160",634000,316000,1671,"England",12,45,1976,2020,"UKBMS"
37,"Upper Teesdale","NY880280",388000,528000,1411,"England",7,42,1976,2020,"UKBMS"
38,"Avon Gorge (old)","ST550730",355000,173000,,"England",11,1,1976,1976,"UKBMS"
39,"Saltfleetby","TF460930",546000,393000,2929,"England",12,42,1977,2020,"UKBMS"
40,"Tregarron Bog","SN680620",268000,262000,3649,"Wales",3,1,1977,1977,"UKBMS"
41,"Vane Farm","NO160990",316000,799000,2253,"Scotland",6,20,1977,2009,"UKBMS"
42,"Ben Lawers","NN6139",261000,739000,3432,"Scotland",6,40,1977,2020,"UKBMS"
43,"Leighton Moss","SD48207500",348200,475000,5922,"England",15,38,1977,2015,"UKBMS"
44,"Radipole Lake","SY670800",367000,80000,1649,"England",6,31,1977,2020,"UKBMS"
45,"Gibralter Point","TF560580",556000,358000,4570,"England",12,44,1974,2020,"UKBMS"
46,"Hatton Green","SP220670",422000,267000,,"England",15,2,1977,1978,"UKBMS"
47,"Skomer","SM72900930",172900,209300,3012,"Wales",9,37,1977,2019,"UKBMS"
48,"Hampstead Heath","TQ270863",527000,186300,1856,"England",11,41,1977,2020,"UKBMS"
49,"Inverpolly","NC000100",200000,910000,3469,"Scotland",13,14,1977,1990,"UKBMS"
50,"Swale","TR03606750",603600,167500,,"England",8,2,1977,1978,"UKBMS"
51,"Loch Garten","NH970180",297000,818000,3645,"Scotland",11,41,1977,2020,"UKBMS"
52,"Avon Gorge 1","ST560730",356000,173000,5761,"England",11,6,1976,1981,"UKBMS"
53,"Avon Gorge 2","ST560730",356000,173000,3786,"England",11,22,1977,1999,"UKBMS"
54,"Nagshead","SO600090",360000,209000,3428,"England",10,37,1977,2020,"UKBMS"
55,"Loch Lomond","NS4387",243000,687000,2034,"Scotland",10,9,1977,1985,"UKBMS"
56,"Harting Down","SU760170",476000,117000,,"England",6,2,1976,1977,"UKBMS"
57,"Tynllan","SJ050160",305000,316000,,"Wales",14,3,1977,1979,"UKBMS"
58,"Kingston Hill Farm","SP403004",440303,200446,3272,"England",15,2,1977,1978,"UKBMS"
59,"Weeting Heath","TL750880",575000,288000,3037,"England",6,31,1977,2016,"UKBMS"
60,"Lindisfarne","NU130430",413000,643000,3000,"England",6,43,1977,2019,"UKBMS"
61,"Insh Marshes","NH810010",281000,801000,3482,"Scotland",13,42,1977,2020,"UKBMS"
62,"Northward Hill","TQ780760",578000,176000,1998,"England",9,38,1977,2020,"UKBMS"
63,"Fairburn Ings","SE460270",446000,427000,4087,"England",5,1,1977,1977,"UKBMS"
64,"Skokholm","SM73800520",173800,205200,1270,"Wales",10,24,1977,2004,"UKBMS"
65,"Woodwalton Fen","TL230840",523000,284000,3940,"England",7,40,1978,2019,"UKBMS"
66,"Tentsmuir Point","NO500270",350000,727000,4187,"Scotland",10,19,1978,1996,"UKBMS"
67,"Carnforth Marsh","SD48017243",348010,472430,2384,"England",9,7,1978,1984,"UKBMS"
68,"Minsmere","TM460670",646000,267000,3287,"England",12,1,1978,1978,"UKBMS"
69,"Holme Dunes","TF710440",571000,344000,2035,"England",8,42,1978,2019,"UKBMS"
70,"Newborough Warren","SH420640",242000,364000,2141,"Wales",15,17,1978,1994,"UKBMS"
71,"Castle Hill","TQ370070",537000,107000,2739,"England",12,42,1978,2019,"UKBMS"
72,"Gait Barrows","SD4777",347000,477000,1400,"England",9,43,1978,2020,"UKBMS"
73,"Wart Barrow","SD380770",338000,477000,1372,"England",4,18,1978,1996,"UKBMS"
74,"Howe Park Wood","SP840340",484000,234000,,"England",14,3,1978,1980,"UKBMS"
75,"Tuddenham Heath","TL740720",574000,272000,,"England",5,1,1978,1978,"UKBMS"
76,"Wicken Fen","TL560700",556000,270000,3647,"England",15,28,1979,2006,"UKBMS"
77,"Morton Lochs","NO460260",346000,726000,2958,"Scotland",10,18,1979,1996,"UKBMS"
78,"Morrone Birkwood","NO130900",313000,790000,3776,"Scotland",8,21,1979,2000,"UKBMS"
79,"St Cyrus","NO7463",374000,763000,3423,"Scotland",15,14,1979,1994,"UKBMS"
80,"Warren Farm","TR030490",603000,149000,,"England",12,2,1979,1980,"UKBMS"
81,"South Stack Cliffs","SH210810",221000,381000,3256,"Wales",13,5,1979,1983,"UKBMS"
82,"South Stack Ranges","SH220800",222000,380000,2290,"Wales",13,22,1979,2019,"UKBMS"
83,"Pewsey Down","SU110630",411000,163000,2017,"England",6,40,1979,2020,"UKBMS"
84,"Ampfield Wood","SU410238",441000,123800,1532,"England",11,42,1979,2020,"UKBMS"
85,"Derbyshire Dales","SK1865",418000,365000,4770,"England",11,42,1979,2020,"UKBMS"
86,"Alresford","SU580330",458000,133000,3868,"England",12,42,1979,2020,"UKBMS"
87,"Sands of Forvie","NK020270",402000,827000,5674,"Scotland",10,21,1979,1999,"UKBMS"
89,"West Dean Wood","SU850160",485000,116000,2282,"England",15,39,1979,2018,"UKBMS"
90,"Roe Valley Country Park","NS030790",203000,679000,,"Scotland",9,1,1979,1979,"UKBMS"
91,"Woods Mill","TQ210130",521000,113000,1422,"England",14,38,1979,2017,"UKBMS"
92,"Murlough","J4135",150060,489996,4794,"Northern Ireland",15,42,1979,2020,"UKBMS"
93,"Martin Down","SU050180",405000,118000,2696,"England",12,42,1979,2020,"UKBMS"
94,"Cwm Risca Farm","SS870840",287000,184000,2748,"Wales",15,1,1979,1979,"UKBMS"
95,"Wyre Forest","SO75507660",375500,276600,2600,"England",15,42,1979,2020,"UKBMS"
96,"Coombes Valley","SK000530",400000,353000,2168,"England",15,25,1979,2019,"UKBMS"
97,"Lullington Heath","TQ540020",554000,102000,3886,"England",15,41,1979,2019,"UKBMS"
98,"Erisey Barton","SW710170",171000,17000,,"England",13,3,1980,1982,"UKBMS"
99,"Moor Farm","TF220630",522000,363000,2097,"England",11,29,1974,2007,"UKBMS"
100,"Ynys Hir","SN670950",267000,295000,5267,"Wales",15,27,1981,2007,"UKBMS"
101,"Newton Links","NU230260",423000,626000,2441,"England",9,38,1981,2019,"UKBMS"
102,"Pickett Wood","ST870540",387000,154000,1194,"England",5,40,1981,2020,"UKBMS"
103,"Inverpolly","NC080130",208000,913000,,"Scotland",9,1,1981,1981,"UKBMS"
104,"Barnack Hills & Holes","TF070040",507000,304000,1669,"England",10,39,1981,2019,"UKBMS"
106,"RSPB Blean Woods","TR100600",610000,160000,4400,"England",15,39,1982,2020,"UKBMS"
107,"Batch Farm","SO880110",388000,211000,761,"England",13,24,1982,2005,"UKBMS"
108,"Morris' Wood","TQ550310",555000,131000,2025,"England",15,12,1982,1993,"UKBMS"
109,"Yardley Hill","TQ380950",538000,195000,,"England",15,1,1982,1982,"UKBMS"
110,"Pynes Farmhouse","ST400200",340000,120000,953,"England",7,11,1983,1993,"UKBMS"
111,"St Osyth","TM110170",611000,217000,2151,"England",9,37,1983,2020,"UKBMS"
112,"Luckett Wood","SX390720",239000,72000,1665,"England",14,41,1980,2020,"UKBMS"
113,"Stour Wood","TM19103130",619100,231300,3910,"England",12,37,1983,2020,"UKBMS"
114,"Shabbington Wood","SP620100",462000,210000,4156,"England",10,13,1984,1997,"UKBMS"
115,"Oakley Woods","SP610110",461000,211000,2549,"England",9,32,1985,2020,"UKBMS"
116,"Taynish","NR720820",172000,682000,3894,"Scotland",12,33,1985,2020,"UKBMS"
117,"Whitecross Green Wood","SP600140",460000,214000,1853,"England",11,35,1986,2020,"UKBMS"
118,"Ham Street Wood","TR000340",600000,134000,3038,"England",13,25,1986,2019,"UKBMS"
119,"Folkestone Escarpment","TR21803810",621800,138100,3663,"England",15,32,1987,2020,"UKBMS"
120,"Cors y Llyn","SO010550",301000,255000,2170,"Wales",12,10,1987,2000,"UKBMS"
121,"Somerford Common (old)","SU020860",402000,186000,5099,"England",13,3,1987,1989,"UKBMS"
122,"Springhill Farm","TQ810300",581000,130000,2440,"England",11,26,1987,2012,"UKBMS"
123,"Glen Strathfarrer","NH380360",238000,836000,5962,"Scotland",12,9,1988,2003,"UKBMS"
124,"Roudsea","SD33308220",333300,482200,3131,"England",15,26,1989,2016,"UKBMS"
125,"Fontmell Down","ST880170",388000,117000,4046,"England",14,8,1989,1996,"UKBMS"
126,"Lydden","TR270450",627000,145000,1846,"England",9,18,1986,2019,"UKBMS"
127,"Ariundle","NM830640",183000,764000,2245,"Scotland",15,22,1989,2014,"UKBMS"
128,"Smardale Gill","NY7206",372000,506000,3173,"England",11,26,1989,2020,"UKBMS"
129,"Mottistone Down","SZ41708460",441700,84600,1590,"England",8,31,1989,2020,"UKBMS"
130,"Church Place","SU340090",434000,109000,2088,"England",15,31,1989,2020,"UKBMS"
131,"Pitts Wood","SU190140",419000,114000,3030,"England",7,10,1989,2020,"UKBMS"
132,"St Margaret's Bay","TR360430",636000,143000,4926,"England",10,12,1989,2001,"UKBMS"
133,"Tadnoll","SY79108750",379100,87500,3370,"England",10,32,1989,2020,"UKBMS"
134,"Bovey Valley","SX800780",280000,78000,1600,"England",8,31,1989,2020,"UKBMS"
135,"East Blean Woods","TR180640",618000,164000,3627,"England",15,26,1989,2019,"UKBMS"
136,"Somerford Common","SU020860",402000,186000,3249,"England",13,27,1989,2020,"UKBMS"
137,"Thorne Moors","SE710150",471000,415000,3999,"England",5,17,1990,2010,"UKBMS"
138,"Hickling Broad","TG420220",642000,322000,1652,"England",10,5,1988,1992,"UKBMS"
139,"Blean Woods","TR110600",611000,160000,2005,"England",15,29,1991,2020,"UKBMS"
140,"Culvie Wood","NJ590530",359000,853000,3093,"Scotland",14,21,1991,2011,"UKBMS"
141,"Pollymore","NC070170",207000,917000,983,"Scotland",9,20,1991,2011,"UKBMS"
142,"Rothamsted Farm","TL120130",512000,213000,3069,"England",12,20,1991,2010,"UKBMS"
143,"Loch Fleet","NH81409640",281400,896400,3128,"Scotland",8,24,1993,2020,"UKBMS"
144,"Whitlaw Mosses","NT50502850",350500,628500,1025,"Scotland",9,21,1992,2016,"UKBMS"
145,"Newborough Warren","SH420640",242000,364000,,"Wales",15,21,1995,2018,"UKBMS"
146,"St Cyrus (new)","NO740670",374000,767000,3600,"Scotland",15,34,1983,2020,"UKBMS"
147,"Whixall Moss (a)","SJ490390",349000,339000,2800,"Wales",10,16,1993,2020,"UKBMS"
148,"Denmark Farm","SN590540",259000,254000,2966,"Wales",15,10,1993,2002,"UKBMS"
149,"Kenfig","SS800810",280000,181000,4407,"Wales",10,23,1993,2019,"UKBMS"
150,"Killard Point","J6043",169672,496353,,"Northern Ireland",15,17,1994,2015,"UKBMS"
151,"Rhos Llawr Cwrt","SN410490",241000,249000,1637,"Wales",11,26,1994,2019,"UKBMS"
152,"Pengelli","SN130390",213000,239000,4015,"Wales",10,4,1994,1997,"UKBMS"
153,"Brodick Country Park","NS01903820",201900,638200,1801,"Scotland",13,23,1995,2019,"UKBMS"
154,"Hickling Broad","TG420220",642000,322000,1680,"England",3,12,1995,2011,"UKBMS"
155,"Shabbington Wood (new)","SP620100",462000,210000,3260,"England",10,25,1995,2020,"UKBMS"
156,"Denge Wood","TR100510",610000,151000,1462,"England",10,25,1993,2020,"UKBMS"
157,"Whixall Fens and Mosses","SJ480360",348000,336000,3500,"Wales",10,13,1993,2015,"UKBMS"
158,"Fontmell Down (new)","ST880170",388000,117000,3809,"England",14,41,1980,2020,"UKBMS"
159,"Gunthorpe","SK660440",466000,344000,2534,"England",12,7,1997,2003,"UKBMS"
160,"Mabie Forest","NX920700",292000,570000,3500,"Scotland",11,21,1995,2020,"UKBMS"
161,"Bishop Middleham Quarry","NZ33203270",433200,532700,2225,"England",14,22,1997,2020,"UKBMS"
162,"Gear Sands","SW570400",157000,40000,,"England",12,3,1999,2001,"UKBMS"
163,"Blackford Hill","NT250700",325000,670000,3206,"Scotland",13,16,1999,2020,"UKBMS"
164,"Carty Port","NX430620",243000,562000,,"Scotland",8,2,1999,2000,"UKBMS"
165,"Sands of Forvie (new)","NK010260",401000,826000,3655,"Scotland",7,22,1999,2020,"UKBMS"
166,"Great Orme","SH760830",276000,383000,4476,"Wales",15,21,1999,2020,"UKBMS"
167,"Creag Meagaidh","NN470870",247000,787000,3156,"Scotland",15,13,1997,2010,"UKBMS"
168,"Loddington (Arable)","SK780020",478000,302000,2245,"England",12,2,2000,2001,"UKBMS"
169,"Loddington (Embankment)","SK780020",478000,302000,2240,"England",10,2,2000,2001,"UKBMS"
170,"Writtle College (West)","TL670070",567000,207000,3666,"England",12,18,2000,2019,"UKBMS"
171,"Writtle College (East)","TL680070",568000,207000,2448,"England",8,18,2000,2019,"UKBMS"
172,"Grange Farm (North) A","TL320630",532000,263000,2879,"England",20,20,2000,2019,"UKBMS"
173,"Grange Farm (South)","TL320630",532000,263000,2574,"England",15,20,2000,2019,"UKBMS"
174,"St. Abb's Head","NT910670",391000,667000,4068,"Scotland",10,21,1999,2019,"UKBMS"
175,"Lochaber","NX920690",292000,569000,2661,"Scotland",11,11,2000,2016,"UKBMS"
176,"North Warren","TM450580",645000,258000,4182,"England",15,28,1991,2018,"UKBMS"
177,"Callendar Wood","NS89507870",289500,678700,3346,"Scotland",11,10,2000,2010,"UKBMS"
178,"Cheriton Hill","TR190380",619000,138000,1304,"England",9,22,1992,2014,"UKBMS"
179,"Grange Farm (North) B","TL320630",532000,263000,2900,"England",10,20,2000,2019,"UKBMS"
180,"Dean Castle Country Park","NS43903960",243900,639600,2366,"Scotland",7,5,2002,2006,"UKBMS"
181,"Bodmin Beacon LNR","SX06506650",206500,66500,1764,"England",8,9,2002,2011,"UKBMS"
182,"Glasdrum","NN000450",200000,745000,,"Scotland",11,18,2002,2020,"UKBMS"
183,"Sandwell Valley","SP030920",403000,292000,3090,"England",15,4,2003,2006,"UKBMS"
184,"Cavenham Heath","TL760720",576000,272000,3315,"England",10,17,2003,2019,"UKBMS"
185,"Aberarder Mountain Ringlet","NN470870",247000,787000,,"Scotland",7,15,1994,2016,"UKBMS"
186,"Scamodale","NM84107360",184100,773600,1815,"Scotland",11,8,2003,2010,"UKBMS"
187,"Torrington Commons","SS480190",248000,119000,2400,"England",6,7,2002,2008,"UKBMS"
188,"Wootton Coppice","SZ240990",424000,99000,,"England",7,16,2004,2020,"UKBMS"
189,"Cragbank","NT590070",359000,607000,,"Scotland",10,1,2004,2004,"UKBMS"
190,"Tentsmuir Point North Revised","NO500279",350000,727900,2900,"Scotland",8,16,2005,2020,"UKBMS"
191,"Tentsmuir Point (South)","NO500270",350000,727000,,"Scotland",,1,2005,2005,"UKBMS"
192,"Morton Lochs","NO46302680",346300,726800,2900,"Scotland",9,16,2004,2020,"UKBMS"
193,"Hengistbury Head","SZ17809040",417800,90400,3803,"England",14,42,1979,2020,"UKBMS"
194,"Skokholm (new)","SM73500500",173500,205000,,"Wales",,3,2005,2007,"UKBMS"
195,"Tentsmuir Point South Revised","NO500270",350000,727000,1700,"Scotland",7,15,2006,2020,"UKBMS"
500,"Kitts Grave","SU03502100",403500,121000,,"England",12,1,1996,1996,"UKBMS"
501,"Martin Down (N)","SU040180",404000,118000,1529,"England",9,1,1996,1996,"UKBMS"
988,"Allt Marchaidh","NH88600410",288600,804100,1727,"Scotland",8,5,2003,2009,"UKBMS"
989,"Glensaugh (upper)","NO650800",365000,780000,,"Scotland",4,17,1997,2014,"UKBMS"
990,"Y Wyddfa","SH620540",262000,354000,2265,"Wales",5,17,1996,2012,"UKBMS"
991,"Porton Down","SU240350",424000,135000,2700,"England",15,25,1994,2019,"UKBMS"
992,"Sourhope","NT840200",384000,620000,1287,"Scotland",6,18,1993,2010,"UKBMS"
993,"Moor House","NY75203320",375200,533200,1919,"England",10,28,1993,2020,"UKBMS"
994,"Wytham","SP470100",447000,210000,4794,"England",13,28,1993,2020,"UKBMS"
995,"North Wyke","SX660985",266000,98500,4738,"England",15,27,1993,2020,"UKBMS"
996,"Hillsborough","J2457",134989,513366,,"Northern Ireland",10,23,1993,2016,"UKBMS"
997,"Glensaugh","NO660780",366000,778000,5135,"Scotland",11,21,1994,2018,"UKBMS"
998,"Drayton","SP16305540",416300,255400,2167,"England",12,19,1993,2011,"UKBMS"
999,"Alice Holt","SU800400",480000,140000,1930,"England",4,27,1994,2020,"UKBMS"
1001,"Stockbridge Down","SU38203480",438200,134800,1500,"England",15,35,1983,2020,"UKBMS"
1002,"Ashford Hangers 1","SU74202680",474200,126800,2000,"England",11,21,1987,2020,"UKBMS"
1003,"Anton Lakes 1","SU360467",436000,146700,1500,"England",8,3,1996,1998,"UKBMS"
1004,"Badminston Common","SU460020",446000,102000,2190,"England",10,22,1993,2020,"UKBMS"
1005,"Beacon Hill","SU60302270",460300,122700,1400,"England",10,40,1980,2020,"UKBMS"
1006,"Bentley Station Meadow","SU79404280",479400,142800,950,"England",3,28,1993,2020,"UKBMS"
1007,"Bonchurch Down","SZ57607850",457600,78500,650,"England",9,28,1993,2020,"UKBMS"
1008,"Broughton Down","SU29403270",429400,132700,2000,"England",10,10,1987,2002,"UKBMS"
1009,"Claylands","SU54701810",454700,118100,1600,"England",8,25,1996,2020,"UKBMS"
1010,"Farlington Marshes Route A","SU68200440",468200,104400,1420,"England",5,23,1993,2020,"UKBMS"
1011,"Hocombe Mead","SU430227",443000,122700,2400,"England",8,18,1994,2013,"UKBMS"
1012,"Hookheath Meadows","SU64700790",464700,107900,,"England",,7,1994,2002,"UKBMS"
1013,"Itchen Valley CP Meadows","SU45801620",445800,116200,2450,"England",6,26,1993,2018,"UKBMS"
1014,"Lower Test Marshes","SU36401490",436400,114900,3729,"England",11,30,1991,2020,"UKBMS"
1015,"Ludshott Common","SU85303570",485300,135700,1150,"England",8,10,1994,2017,"UKBMS"
1016,"Magdalen Hill Down","SU50502920",450500,129200,1950,"England",10,31,1990,2020,"UKBMS"
1017,"Magdalen Hill Down extension","SU51502920",451500,129200,1600,"England",8,25,1996,2020,"UKBMS"
1018,"Martin Down Kitts Grave","SU03402030",403400,120300,1465,"England",12,36,1985,2020,"UKBMS"
1019,"Martin Down North","SU04501900",404500,119000,1375,"England",9,39,1982,2020,"UKBMS"
1022,"Noar Hill","SU74103200",474100,132000,2383,"England",15,38,1983,2020,"UKBMS"
1023,"Oxenbourne Down","SU71201860",471200,118600,2000,"England",12,14,1984,2004,"UKBMS"
1024,"Pamber Forest","SU61506100",461500,161000,5300,"England",15,37,1984,2020,"UKBMS"
1025,"Parkhurst Forest","SZ47709030",447700,90300,3050,"England",14,11,1995,2007,"UKBMS"
1026,"Portsdown Hill West","SU62100670",462100,106700,2200,"England",,9,1993,2001,"UKBMS"
1027,"Portsdown Hill East","SU67500630",467500,106300,1900,"England",,8,1995,2002,"UKBMS"
1028,"Sandy Point Hayling Island","SZ74809830",474800,98300,2300,"England",10,16,1989,2004,"UKBMS"
1029,"Silchester Common","SU62206230",462200,162300,1020,"England",5,18,1994,2015,"UKBMS"
1030,"St Catherine's Hill","SU48402750",448400,127500,1371,"England",12,20,1986,2005,"UKBMS"
1031,"Swanwick NR","SU50801000",450800,110000,2300,"England",14,24,1994,2020,"UKBMS"
1032,"Lower Test - Testwood Park House","SU35801450",435800,114500,1906,"England",9,29,1992,2020,"UKBMS"
1033,"Titchfield Haven (Old)","SU53300240",453300,102400,1950,"England",6,8,1990,2000,"UKBMS"
1034,"Coombe Bottom & St Boniface Down (Ventnor)","SZ56507830",456500,78300,1100,"England",11,32,1989,2020,"UKBMS"
1035,"Newton - Walters Copse","SZ43109050",443100,90500,1317,"England",7,25,1996,2020,"UKBMS"
1036,"West Down (Chilbolton)","SU38503890",438500,138900,2300,"England",10,31,1988,2020,"UKBMS"
1037,"Wendleholme","SU49400730",449400,107300,1800,"England",11,18,1987,2004,"UKBMS"
1038,"Westbury House Park","SU660235",466000,123500,1529,"England",,12,1993,2005,"UKBMS"
1039,"Winnall Moors","SU48803050",448800,130500,4000,"England",12,27,1987,2020,"UKBMS"
1040,"Yew Hill","SU45402650",445400,126500,1220,"England",6,31,1990,2020,"UKBMS"
1041,"Conford Moor","SU82303300",482300,133000,1057,"England",7,4,1996,2017,"UKBMS"
1043,"Ashford Hangers 2","SU73502640",473500,126400,500,"England",,7,1993,2001,"UKBMS"
1044,"Botley Wood 1","SU54501000",454500,110000,2900,"England",11,26,1995,2020,"UKBMS"
1045,"Botley Wood 2","SU54200970",454200,109700,1200,"England",7,6,1999,2004,"UKBMS"
1046,"Brading Quarries","SZ60108660",460100,86600,1400,"England",10,13,1997,2009,"UKBMS"
1047,"Browndown North","SZ58209970",458200,99700,1800,"England",8,9,1997,2019,"UKBMS"
1048,"Brownwich & Chilling","SU51500400",451500,104000,2800,"England",12,16,1989,2004,"UKBMS"
1049,"Catherington Down","SU69201440",469200,114400,3033,"England",9,26,1995,2020,"UKBMS"
1050,"Crabtree","SU66305190",466300,151900,1900,"England",10,22,1999,2020,"UKBMS"
1051,"Crab Wood","SU43802950",443800,129500,550,"England",7,23,1986,2020,"UKBMS"
1052,"Crowdhill Copse","SU48901980",448900,119800,2757,"England",9,16,1993,2008,"UKBMS"
1053,"Drayton Down","SU67202250",467200,122500,1200,"England",,7,1998,2005,"UKBMS"
1054,"Firestone Copse","SZ55509080",455500,90800,1700,"England",10,30,1988,2017,"UKBMS"
1055,"The Gillies","SU57200590",457200,105900,1300,"England",8,28,1993,2020,"UKBMS"
1056,"Ham Green Common","SU43903070",443900,130700,1700,"England",,10,1996,2005,"UKBMS"
1057,"Leckford-A","SU37503750",437500,137500,,"England",10,22,1988,2020,"UKBMS"
1058,"Leckford-J","SU38203570",438200,135700,1610,"England",10,29,1989,2018,"UKBMS"
1059,"Old Burghclere Lime Quarry","SU47305740",447300,157400,1100,"England",9,11,1988,2007,"UKBMS"
1060,"Pignal Inclosure","SU31500400",431500,104000,600,"England",7,23,1998,2020,"UKBMS"
1061,"Royal Victoria CP","SU46500780",446500,107800,4138,"England",7,10,1996,2005,"UKBMS"
1063,"Whippingham (fields)","SZ510933",451000,93300,3650,"England",11,23,1998,2020,"UKBMS"
1064,"Whippingham (Woodhouse)","SZ530930",453000,93000,950,"England",11,16,1998,2013,"UKBMS"
1065,"Wick Wood","SU75803530",475800,135300,3056,"England",12,25,1995,2020,"UKBMS"
1066,"Culver Down","SZ63508550",463500,85500,1500,"England",10,4,1992,1995,"UKBMS"
1067,"Medina Valley Centre","SZ50309090",450300,90900,367,"England",10,29,1988,2019,"UKBMS"
1068,"Emer Bog","SU39702150",439700,121500,1700,"England",10,6,1992,2004,"UKBMS"
1069,"Bishops Waltham Moors","SU560170",456000,117000,1900,"England",13,6,1991,1997,"UKBMS"
1070,"Itchen Valley CP Woods","SU46901670",446900,116700,1100,"England",8,27,1992,2018,"UKBMS"
1071,"Sandy Top, Fordingbridge","SU13301460",413300,114600,,"England",,12,1994,2005,"UKBMS"
1072,"Chilworth","SU40401850",440400,118500,1950,"England",7,5,1991,1995,"UKBMS"
1073,"Farlington Marshes Route B","SU68800520",468800,105200,1286,"England",6,21,1993,2020,"UKBMS"
1074,"Farlington Marshes Route C","SU68200430",468200,104300,1715,"England",6,21,1993,2020,"UKBMS"
1075,"Roydon Woods - Bakers","SU31700160",431700,101600,2979,"England",15,32,1985,2020,"UKBMS"
1076,"Roydon Woods - Calveslease","SU32200010",432200,100100,1461,"England",11,23,1990,2012,"UKBMS"
1077,"Roydon Woods - Newlands","SU32200090",432200,100900,1014,"England",12,18,1987,2004,"UKBMS"
1078,"Roydon Woods - Sheffield","SZ33209970",433200,99700,760,"England",7,4,1997,2000,"UKBMS"
1079,"Roydon Woods - Woodhouse","SU310004",431000,100400,1737,"England",11,20,1984,2003,"UKBMS"
1080,"Bartley Heath Cross Lines Walk","SU72605340",472600,153400,8000,"England",10,21,1983,2003,"UKBMS"
1081,"Bartley Heath New 1","SU72905350",472900,153500,4600,"England",10,25,1996,2020,"UKBMS"
1082,"Bartley Heath New 2","SU72405260",472400,152600,2300,"England",10,5,1997,2001,"UKBMS"
1083,"Roydon Woods - Southern Fields","SZ31709960",431700,99600,2842,"England",15,20,2000,2020,"UKBMS"
1084,"The Dongas","SU490276",449000,127600,1391,"England",8,11,1997,2019,"UKBMS"
1085,"Millfield","SU46603290",446600,132900,185,"England",12,9,2002,2010,"UKBMS"
1086,"Parkhurst Forest 2","SZ47209120",447200,91200,4400,"England",11,7,2001,2007,"UKBMS"
1087,"Parkhurst Forest 3","SZ46809150",446800,91500,,"England",11,7,2001,2007,"UKBMS"
