Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
51362,,"SP5698",456000,298000,,"England",10,5,2009,2020,"WCBS"
51363,,"TF2269",522000,369000,,"England",10,1,2009,2009,"WCBS"
51364,,"TF6926",569000,326000,,"England",10,14,2007,2020,"WCBS"
51365,,"TF6934",569000,334000,,"England",10,10,2007,2018,"WCBS"
51366,,"ST1914",319000,114000,,"England",10,10,2007,2020,"WCBS"
51367,,"ST3547",335000,147000,,"England",10,5,2009,2020,"WCBS"
51368,,"ST3566",335000,166000,,"England",10,4,2009,2013,"WCBS"
51369,,"TQ3069",530000,169000,,"England",10,2,2009,2018,"WCBS"
51370,,"SU9402",494000,102000,,"England",10,13,2008,2020,"WCBS"
51371,,"ST4872",348000,172000,,"England",10,3,2009,2020,"WCBS"
51372,,"ST4944",349000,144000,,"England",10,4,2009,2019,"WCBS"
51373,,"ST6945",369000,145000,,"England",10,2,2007,2009,"WCBS"
51374,,"ST7146",371000,146000,,"England",10,2,2007,2009,"WCBS"
51375,,"ST7542",375000,142000,,"England",10,2,2007,2009,"WCBS"
51376,,"ST7653",376000,153000,,"England",10,12,2007,2019,"WCBS"
51377,,"SJ8937",389000,337000,,"England",10,1,2009,2009,"WCBS"
51378,,"SK0500",405000,300000,,"England",10,11,2009,2020,"WCBS"
51379,,"NS6591",265000,691000,,"Scotland",10,3,2009,2015,"WCBS"
51380,,"NS7196",271000,696000,,"Scotland",10,2,2009,2010,"WCBS"
51381,,"TL7262",572000,262000,,"England",10,10,2009,2020,"WCBS"
51382,,"TL7781",577000,281000,,"England",10,11,2009,2019,"WCBS"
51383,,"TM1838",618000,238000,,"England",10,6,2009,2015,"WCBS"
51384,,"TM2560",625000,260000,,"England",10,1,2009,2009,"WCBS"
51385,,"TM3582",635000,282000,,"England",10,1,2009,2009,"WCBS"
51386,,"NZ0567",405000,567000,,"England",10,2,2009,2011,"WCBS"
51387,,"SK7792",477000,392000,,"England",10,13,2007,2019,"WCBS"
51388,,"NH4955",249000,855000,,"Scotland",10,2,2009,2010,"WCBS"
51389,,"SD4050",340000,450000,,"England",10,1,2007,2007,"WCBS"
51390,,"TQ3833",538000,133000,,"England",10,2,2009,2011,"WCBS"
51391,,"TQ6706",567000,106000,,"England",10,1,2009,2009,"WCBS"
51392,,"SP1450",414000,250000,,"England",10,7,2009,2015,"WCBS"
51393,,"SP2798",427000,298000,,"England",10,12,2009,2020,"WCBS"
51394,,"SP4077",440000,277000,,"England",10,7,2009,2018,"WCBS"
